MON,gamma,-0.643861136,9.919216983,-1.092967193,1,
MON,,,,,1,
LEP,mu,1.9583072,9.400867779,-2.790827461,1,
LEP,alpha,1.130094425,9.452791509,-3.060656674,1,
LEP,zeta,0.549930096,9.651600268,-2.558161283,1,
LEP,eta,0.152089354,9.694641938,-2.447608329,1,
LEP,theta,-0.259475507,9.658692108,-2.577273604,3,
LEP,delta,0.353716973,9.336648358,-3.563969941,,
LEP,gamma,0.626071981,9.221009723,-3.818509338,1,
LEP,beta,1.291460083,9.261155277,-3.544451126,1,
LEP,alpha,1.130094425,9.452791509,-3.060656674,1,
LEP,,,,,,
LEP,beta,1.291460083,9.261155277,-3.544451126,1,
LEP,epsilon,2.179897957,8.986778525,-3.806028985,2,
LEP,mu,1.9583072,9.400867779,-2.790827461,,
LEP,,,,,1,
LEP,mu,1.9583072,9.400867779,-2.790827461,2,
LEP,lambda,1.70852414,9.585641952,-2.279564351,,
LEP,,,,,1,
LEP,mu,1.9583072,9.400867779,-2.790827461,2,
LEP,kappa,1.975061954,9.543775782,-2.239525419,1,
LEP,,,,,1,
SEX,alpha,-8.8280199,4.697005165,-0.064862351,,
SEX,beta,-9.24308101,3.814851571,-0.111179685,2,
SEX,gamma,-8.407362556,5.227665731,-1.409881503,2,
SEX,alpha,-8.8280199,4.697005165,-0.064862351,1,
SEX,,,,,,
PYX,beta,-5.248282099,6.2489872,-5.779765911,1,
PYX,alpha,-5.479276441,6.325879663,-5.473643774,1,
PYX,gamma,-5.996229984,6.513314719,-4.64994165,1,
PYX,,,,,1,
TRI,alpha,7.659437608,4.119088286,4.936205752,,
TRI,beta,6.918479844,4.38822039,5.733947894,1,
TRI,gamma,6.858622761,4.683656142,5.569798826,1,
TRI,alpha,7.659437608,4.119088286,4.936205752,1,
TRI,,,,,1,
ARI,gamma,8.303809629,4.486587038,3.304131111,,
ARI,beta,8.20247938,4.48329387,3.552380624,1,
ARI,alpha,7.796807454,4.832975238,3.981475087,1,
ARI,41,6.554325415,6.005084063,4.58036939,1,
ARI,,,,,1,
LEO,beta,-9.667294609,0.461832441,2.515974112,1,
LEO,delta,-9.178142706,1.862795221,3.505950717,1,
LEO,60,-9.090543953,2.337032406,3.44967972,1,
LEO,gamma,-8.52457461,3.976316492,3.394191344,2,
LEO,zeta,-8.259723535,3.99778592,3.974251484,1,
LEO,mu,-7.637580992,4.73717951,4.384801806,3,
LEO,kappa,-6.990160441,5.627552811,4.412290376,1,
LEO,lambda,-7.346458085,5.550014732,3.902164794,1,
LEO,epsilon,-7.62794959,5.055954174,4.031341271,,
LEO,eta,-8.441163091,4.519828874,2.884079163,1,
LEO,theta,-9.448072808,1.911927201,2.660536522,1,
LEO,delta,-9.178142706,1.862795221,3.505950717,,
LEO,,,,,,
LEO,epsilon,-7.62794959,5.055954174,4.031341271,3,
LEO,mu,-7.637580992,4.73717951,4.384801806,1,
LEO,,,,,1,
LEO,omicron,,,,,
LEO,eta,-8.441163091,4.519828874,2.884079163,4,
LEO,alpha,-8.645020187,4.578662357,2.073518024,1,
LEO,31,-8.693475956,4.627050259,1.736053484,1,
LEO,,,,,1,
LEO,rho,-9.16282196,3.664348083,1.617172485,,
LEO,theta,-9.448072808,1.911927201,2.660536522,1,
LEO,iota,-9.710056593,1.541213996,1.82741905,1,
LEO,sigma,-9.802044146,1.678286244,1.050374149,1,
LEO,,,,,1,
LMI,beta,-7.37809559,3.136249543,5.977260599,,
LMI,46,-7.921723815,2.372421409,5.62298039,1,
LMI,21,-7.201419979,3.852093263,5.770695606,1,
LMI,beta,-7.37809559,3.136249543,5.977260599,2,
LMI,,,,,1,
LYN,alpha,-6.345648173,5.275043178,5.648598829,1,
LYN,38,-6.107712825,5.177698958,5.990599097,1,
LYN,31,-4.255568143,5.920332871,6.84396073,,
LYN,21,-2.413165497,6.070632514,7.571264965,1,
LYN,15,-1.295103858,5.073793513,8.519350056,1,
LYN,2,-0.440306986,5.12987881,8.572658464,1,
LYN,,,,,1,
VIR,nu,-9.916231622,0.612612825,1.137126183,1,
VIR,beta,-9.987020677,0.405688949,0.307952077,1,
VIR,eta,-9.961629167,-0.867410429,-0.116376515,,
VIR,gamma,-9.83208963,-1.807217901,-0.252936667,1,
VIR,delta,-9.690067717,-2.398204673,0.59262297,1,
VIR,epsilon,-9.458542283,-2.630937286,1.901090973,1,
VIR,,,,,1,
VIR,gamma,-9.83208963,-1.807217901,-0.252936667,1,
VIR,theta,-9.493292336,-2.990940201,-0.965234343,,
VIR,alpha,-9.140801721,-3.56352744,-1.935721076,1,
VIR,iota,-8.244600241,-5.561811628,-1.045379492,1,
VIR,mu,-7.537027224,-6.497779965,-0.985939223,1,
VIR,,,,,1,
VIR,theta,-9.493292336,-2.990940201,-0.965234343,,
VIR,zeta,-9.158002833,-4.014993217,-0.103988334,1,
VIR,tau,-8.620975238,-5.060250453,0.269539044,1,
VIR,109,-7.478278413,-6.630704848,0.330310761,2,
VIR,,,,,3,
VEL,mu,-6.175796632,2.043357226,-7.595013312,1,
VEL,psi,-6.049810662,4.612893962,-6.490069356,2,
VEL,lambda,-5.310884658,4.952654532,-6.875006708,3,
VEL,gamma,-3.629560532,5.722997082,-7.353475011,1,
VEL,delta,-3.803634151,4.348539067,-8.162265325,,
VEL,kappa,-4.426487838,3.645230257,-8.192588223,1,
VEL,phi,-4.980535774,2.96715873,-8.148020157,2,
VEL,mu,-6.175796632,2.043357226,-7.595013312,2,
VEL,,,,,2,
CEN,alpha,-3.738607968,-3.126188133,-8.732110754,2,
CEN,beta,-4.239375397,-2.542829797,-8.692624049,2,
CEN,epsilon,-5.396430274,-2.513176498,-8.035078356,2,
CEN,zeta,-5.939214042,-3.276585831,-7.347769856,1,
CEN,upsilon^1,-6.165025168,-3.512160632,-7.046785961,,
CEN,mu,-6.548166671,-3.394844689,-6.752521217,2,
CEN,nu,-6.631465167,-3.433924279,-6.650701751,1,
CEN,theta,-6.852941128,-4.22761007,-5.9299672,2,
CEN,,,,,1,
CEN,kappa,-5.265375249,-5.226983425,-6.704809301,,
CEN,eta,-5.770994797,-4.652743008,-6.711751005,2,
CEN,mu,-6.548166671,-3.394844689,-6.752521217,1,
CEN,iota,-7.525854541,-2.761407736,-5.97797129,2,
CEN,,,,,2,
CEN,zeta,-5.939214042,-3.276585831,-7.347769856,2,
CEN,gamma,-6.45843179,-1.182935455,-7.542501079,2,
CEN,sigma,-6.34917087,-0.780696609,-7.686256701,,
CEN,delta,-6.326569749,-0.230832942,-7.740880529,1,
CEN,pi,-5.724439891,0.983464354,-8.140244824,2,
CEN,lambda,-4.511511639,0.478529963,-8.911636876,1,
CEN,,,,,1,
CRT,theta,-9.803052195,1.000862143,-1.702481315,2,
CRT,epsilon,-9.704068998,1.51051462,-1.88398261,1,
CRT,delta,-9.517424329,1.706419515,-2.550836446,2,
CRT,alpha,-9.168387078,2.466337035,-3.13972292,1,
CRT,beta,-9.012603091,1.929742795,-3.879314149,,
CRT,gamma,-9.41583065,1.454195615,-3.037671525,1,
CRT,zeta,-9.47050481,0.630569045,-3.148320396,1,
CRT,eta,-9.553874112,0.166100929,-2.948881133,,
CRT,,,,,1,
CRT,gamma,-9.41583065,1.454195615,-3.037671525,2,
CRT,delta,-9.517424329,1.706419515,-2.550836446,2,
ANT,,,,,2,
ANT,iota,-7.669887018,2.173340993,-6.037335675,2,
ANT,alpha,-7.87221052,3.375998328,-5.160517108,,
ANT,theta,-7.339917051,4.941448752,-4.659152488,1,
ANT,epsilon,-6.40605957,4.949142036,-5.870978956,1,
ANT,alpha,-7.87221052,3.375998328,-5.160517108,1,
ANT,,,,,1,
HYA,pi,-7.610842308,-4.680922144,-4.490439539,1,
HYA,gamma,-8.653585884,-3.103613808,-3.934848496,1,
HYA,beta,-8.295359395,0.256754912,-5.578627915,1,
HYA,xi,-8.434757221,0.998247468,-5.278103127,1,
HYA,nu,-9.154038837,2.902741568,-2.788846422,1,
HYA,mu,-8.779019822,3.813107493,-2.896380882,1,
HYA,lambda,-8.676255678,4.488320105,-2.139525658,1,
HYA,upsilon^1,-8.185679698,5.14092993,-2.562320695,1,
HYA,alpha,-7.779326853,6.100462805,-1.505465802,1,
HYA,iota,-8.186287024,5.73976712,-0.199444666,1,
HYA,theta,-7.493963666,6.608891548,0.403808223,2,
HYA,zeta,-6.890266751,7.172954016,1.035835305,2,
HYA,epsilon,-6.609798415,7.420293057,1.11795164,1,
HYA,delta,-6.317761726,7.687531513,0.993854118,,
HYA,sigma,-6.375387326,7.68210328,0.582859882,1,
HYA,eta,-6.523524337,7.555936874,0.592830655,3,
HYA,zeta,-6.890266751,7.172954016,1.035835305,3,
HYA,,,,,2,
PUP,rho,-4.814154367,7.738465715,-4.115831155,1,
PUP,xi,-4.164823162,8.061061306,-4.203990801,3,
PUP,zeta,-3.933317165,6.573128231,-6.428296924,,
PUP,pi,-2.634332446,7.52851605,-6.031727667,1,
PUP,sigma,-2.762409676,6.732897999,-6.858365499,,
PUP,zeta,-3.933317165,6.573128231,-6.428296924,2,
PUP,,,,,1,
PUP,sigma,-2.762409676,6.732897999,-6.858365499,,
PUP,L2,,,,,
PUP,nu,-1.195732563,7.191441625,-6.844953688,1,
PUP,tau,-1.371656809,6.195313802,-7.728948473,2,
PUP,L2,,,,1,
PUP,,,,,1,
COL,delta,-0.803955503,8.306162975,-5.510109997,1,
COL,gamma,0.087731618,8.162590424,-5.776194312,,
COL,beta,0.319968544,8.107561045,-5.845089736,1,
COL,alpha,0.734559618,8.2505009,-5.602647326,2,
COL,epsilon,1.020287693,8.079979169,-5.802839792,,
COL,,,,,1,
COL,beta,0.319968544,8.107561045,-5.845089736,2,
COL,eta,0.02730995,7.335452721,-6.796351046,2,
COL,,,,,2,
CAR,alpha,-0.632226579,6.027419523,-7.954275796,,
CAR,chi,-2.936720738,5.255796929,-7.98450186,,
CAR,epsilon,-2.955717628,4.124169955,-8.617131511,2,
CAR,iota,-3.871821161,3.333522923,-8.596314665,2,
CAR,q,,,,1,
CAR,p,,,,3,
CAR,theta,-4.079829511,1.425605331,-9.017906664,,
CAR,omega,-3.053541436,1.526817941,-9.399186756,2,
CAR,beta,-2.588246509,2.306052018,-9.379930922,,
CAR,upsilon,-3.525798282,2.309371043,-9.068381987,2,
CAR,L,,,,1,
CAR,iota,-3.871821161,3.333522923,-8.596314665,2,
CAR,,,,,1,
CAS,epsilon,3.894238792,2.123107079,8.962551007,,
CAS,delta,4.620420554,1.81574504,8.680713326,2,
