MON,18,-23.378565,110.316881,4.750306,112.8668992,2,
MON,,,,,,,
MON,28,-69.581124,119.047291,-3.352171,137.9312414,2,
MON,alpha,-19.103696,40.392645,-7.518267,45.31049889,1,
MON,,,,,,,
MON,delta,-36.330133,112.038272,-1.012987,117.7857339,2,
MON,beta,-25.823011,204.282357,-25.402943,207.4690791,2,
MON,gamma,-9.829941,151.438427,-16.686522,152.6717555,2,
MON,,,,,,,
LEP,mu,11.164848,53.596933,-15.911275,57.01275059,1,
LEP,alpha,76.877195,643.047236,-208.208,680.2723147,3,
LEP,zeta,1.188275,20.854933,-5.52761,21.6077463,1,
LEP,eta,0.226289,14.424355,-3.64172,14.87868773,1,
LEP,theta,-1.374348,51.158602,-13.650887,52.96638658,1,
LEP,delta,1.233354,32.555386,-12.426988,34.86838612,1,
LEP,gamma,0.558889,8.231515,-3.40875,8.92691283,1,
LEP,beta,6.349344,45.531613,-17.425966,49.16407472,1,
LEP,alpha,76.877195,643.047236,-208.208,680.2723147,3,
LEP,,,,,,,
LEP,beta,6.349344,45.531613,-17.425966,49.16407472,1,
LEP,epsilon,14.257014,58.775516,-24.89227,65.40220818,1,
LEP,mu,11.164848,53.596933,-15.911275,57.01275059,1,
LEP,,,,,,,
LEP,mu,11.164848,53.596933,-15.911275,57.01275059,1,
LEP,lambda,44.609015,250.278024,-59.518691,261.0967792,2,
LEP,,,,,,,
LEP,mu,11.164848,53.596933,-15.911275,57.01275059,1,
LEP,kappa,44.086239,213.030877,-49.989446,223.2144613,2,
LEP,,,,,,,
SEX,alpha,-76.698775,40.80808,-0.563531,86.88106265,1,
SEX,beta,-114.678544,47.330714,-1.379402,124.0696083,2,
SEX,gamma,-71.552126,44.490837,-11.999009,85.10650697,1,
SEX,alpha,-76.698775,40.80808,-0.563531,86.88106265,1,
SEX,,,,,,,
PYX,beta,-66.942302,79.706384,-73.721425,127.5508838,2,
PYX,alpha,-147.689477,170.508984,-147.537653,269.5419342,2,
PYX,gamma,-38.119847,41.407111,-29.561085,63.57302355,1,
PYX,,,,,,,
TRI,alpha,14.872602,7.99818,9.584806,19.41735511,1,
TRI,beta,26.909766,17.068198,22.302471,38.89548948,1,
TRI,gamma,23.617959,16.128369,19.179839,34.43542504,1,
TRI,alpha,14.872602,7.99818,9.584806,19.41735511,1,
TRI,,,,,,,
ARI,gamma,41.769649,22.568336,16.620371,50.30179022,1,
