LEO,,,
LEO,-328.449984,175.868859,112.220999
LEO,-21.018857,11.132218,5.041397
LEO,-78.745563,41.911852,15.725184
LEO,,,
LEO,-91628.21995,36643.48097,16171.72491
LEO,-47.814213,9.675761,13.464276
LEO,-22.987695,3.648687,4.326252
LEO,-66.140622,11.324464,7.087542
LEO,,,
LMI,-34.818822,14.800637,28.20798
LMI,-23.041794,6.900625,16.355475
LMI,-20.337129,10.878482,16.2967
LMI,-34.818822,14.800637,28.20798
LMI,,,
LYN,-39.512346,32.846027,35.17204
LYN,-23.374361,19.815176,22.926164
LYN,-49.889521,69.406143,80.234157
LYN,-20.244731,50.928261,63.517493
LYN,-7.080952,27.740855,46.57936
LYN,-2.113811,24.62735,41.155331
LYN,,,
VIR,-89.335882,5.519063,10.244433
VIR,-10.914853,0.443379,0.336562
VIR,-81.054806,-7.05786,-0.946921
VIR,-11.488622,-2.111702,-0.295552
VIR,-58.94191,-14.587593,3.604756
VIR,-31.782664,-8.840495,6.38806
VIR,,,
VIR,-11.488622,-2.111702,-0.295552
VIR,-91.90017,-28.953908,-9.343987
VIR,-69.990853,-27.285826,-14.82176
VIR,-18.333625,-12.367873,-2.324624
VIR,-13.771311,-11.872446,-1.801463
VIR,,,
VIR,-91.90017,-28.953908,-9.343987
VIR,-20.799365,-9.118725,-0.236175
VIR,-59.454971,-34.898261,1.858889
VIR,-30.838211,-27.343068,1.362104
VIR,,,
VEL,-22.183186,7.339648,-27.280949
VEL,-11.382585,8.679058,-12.210922
VEL,-88.662596,82.682121,-114.774841
VEL,-124.300149,195.993257,-251.831601
VEL,-9.394033,10.739813,-20.158771
VEL,-77.65777,63.951481,-143.729782
VEL,-242.953038,144.739494,-397.464518
VEL,-22.183186,7.339648,-27.280949
VEL,,,
CEN,-0.495203,-0.414084,-1.156625
CEN,-50.954051,-30.56287,-104.478695
CEN,-70.726493,-32.9381,-105.309044
CEN,-69.545858,-38.36753,-86.039492
CEN,-80.799834,-46.030955,-92.356336
CEN,-101.522043,-52.633292,-104.690333
CEN,-88.774682,-45.96956,-89.0322
CEN,-12.358808,-7.624204,-10.694288
CEN,,,
CEN,-61.87283,-61.421692,-78.787457
CEN,-54.086167,-43.605833,-62.903
CEN,-101.522043,-52.633292,-104.690333
CEN,-13.562569,-4.976416,-10.773082
CEN,,,
CEN,-69.545858,-38.36753,-86.039492
CEN,-25.771821,-4.720403,-30.097707
